n,seed,bw,lifo_err,fifo_err,delta_err,wmin,wmax
20,0,2,0,0,0,4,100
20,0,3,0,0,0,4,100
20,0,4,0,0,0,4,100
20,0,5,0,0,0,4,100
20,0,6,0,0,0,4,100
20,0,7,0,0,0,4,100
20,0,8,0,0,0,4,100
20,0,9,0,0,0,4,100
20,0,10,0,0,0,4,100
20,0,11,0,0,0,4,100
20,0,12,0,0,0,4,100
20,0,13,0,0,0,4,100
20,0,14,0,0,0,4,100
20,0,15,1,0,0,4,100
20,0,16,1,0,0,4,100
20,0,17,1,0,0,4,100
20,0,18,0,0,0,4,100
20,0,19,0,0,0,4,100
20,0,20,1,0,0,4,100
20,0,21,0,0,0,4,100
20,0,22,1,1,0,4,100
20,0,23,0,0,0,4,100
20,0,24,1,1,0,4,100
20,0,25,0,0,0,4,100
20,0,26,1,0,0,4,100
20,0,27,0,0,0,4,100
20,0,28,0,0,0,4,100
20,0,29,1,0,0,4,100
20,0,30,1,1,0,4,100
20,0,31,0,0,0,4,100
20,0,32,1,0,0,4,100
20,0,33,1,1,0,4,100
20,0,34,1,1,0,4,100
20,0,35,0,0,0,4,100
20,0,36,1,1,0,4,100
20,0,37,1,0,0,4,100
20,0,38,1,1,0,4,100
20,0,39,1,1,0,4,100
20,0,40,1,1,0,4,100
20,0,41,0,0,0,4,100
20,0,42,1,1,0,4,100
20,0,43,1,1,0,4,100
20,0,44,1,1,0,4,100
20,0,45,1,1,0,4,100
20,0,46,1,1,0,4,100
20,0,47,1,1,0,4,100
20,0,48,1,1,0,4,100
20,0,49,0,0,0,4,100
20,0,50,1,1,0,4,100
20,0,51,1,1,0,4,100
20,0,52,1,1,0,4,100
20,0,53,1,1,0,4,100
20,0,54,1,1,0,4,100
20,0,55,1,1,0,4,100
20,0,56,1,1,0,4,100
20,0,57,1,1,0,4,100
20,0,58,1,1,0,4,100
20,0,59,1,1,0,4,100
20,0,60,1,1,0,4,100
20,0,61,0,0,0,4,100
20,0,62,0,0,0,4,100
20,0,63,1,1,0,4,100
20,0,64,1,1,0,4,100
20,0,65,1,1,0,4,100
20,0,66,1,1,0,4,100
20,0,67,1,1,0,4,100
20,0,68,1,1,0,4,100
20,0,69,1,1,0,4,100
20,0,70,1,1,0,4,100
20,0,71,1,1,0,4,100
20,0,72,1,1,0,4,100
20,0,73,1,1,0,4,100
20,0,74,1,1,0,4,100
20,0,75,1,1,0,4,100
20,0,76,1,1,0,4,100
20,0,77,1,1,0,4,100
20,0,78,1,1,0,4,100
20,0,79,1,1,0,4,100
20,0,80,1,1,0,4,100
20,0,81,0,0,0,4,100
20,0,82,0,0,0,4,100
20,0,83,0,0,0,4,100
20,0,84,1,1,0,4,100
20,0,85,1,1,0,4,100
20,0,86,1,1,0,4,100
20,0,87,1,1,0,4,100
20,0,88,1,1,0,4,100
20,0,89,1,1,0,4,100
20,0,90,1,1,0,4,100
20,0,91,1,1,0,4,100
20,0,92,1,1,0,4,100
20,0,93,1,1,0,4,100
20,0,94,1,1,0,4,100
20,0,95,1,1,0,4,100
20,0,96,1,1,0,4,100
