P,W,lifo_total_errors,fifo_total_errors,lifo_first_error,fifo_first_error,lifo_gaps,fifo_gaps,lifo_nonmonotone,fifo_nonmonotone
2,1,7,0,5,-1,0,0,0,0
3,1,9,0,3,-1,1,0,1,0
3,2,9,0,7,-1,0,0,0,0
4,1,10,0,4,-1,1,0,1,0
4,2,11,0,4,-1,1,0,1,0
4,3,11,0,9,-1,0,0,0,0
5,1,12,0,4,-1,1,0,1,0
5,2,12,0,5,-1,1,0,1,0
5,3,13,0,5,-1,1,0,1,0
5,4,13,0,11,-1,0,0,0,0
6,1,14,0,3,-1,2,0,1,0
6,2,14,0,5,-1,1,0,1,0
6,3,14,0,6,-1,1,0,1,0
6,4,15,0,6,-1,1,0,1,0
6,5,15,0,13,-1,0,0,0,0
7,1,15,0,5,-1,1,0,1,0
7,2,15,0,6,-1,1,0,1,0
7,3,16,0,6,-1,1,0,1,0
7,4,16,0,7,-1,1,0,1,0
7,5,17,0,7,-1,1,0,1,0
7,6,17,0,15,-1,0,0,0,0
8,1,17,0,4,-1,2,0,1,0
8,2,18,0,4,-1,2,0,1,0
8,3,17,0,7,-1,1,0,1,0
8,4,18,0,7,-1,1,0,1,0
8,5,18,0,8,-1,1,0,1,0
8,6,19,0,8,-1,1,0,1,0
8,7,19,0,17,-1,0,0,0,0
9,1,20,0,3,-1,2,0,1,0
9,2,18,0,7,-1,1,0,1,0
9,3,19,0,7,-1,1,0,1,0
9,4,19,0,8,-1,1,0,1,0
9,5,20,0,8,-1,1,0,1,0
9,6,20,0,9,-1,1,0,1,0
9,7,21,0,9,-1,1,0,1,0
9,8,21,0,19,-1,0,0,0,0
10,1,20,0,5,-1,2,0,1,0
10,2,21,0,5,-1,2,0,1,0
10,3,21,0,5,-1,2,0,1,0
10,4,21,0,8,-1,1,0,1,0
10,5,21,0,9,-1,1,0,1,0
10,6,22,0,9,-1,1,0,1,0
10,7,22,0,10,-1,1,0,1,0
10,8,23,0,10,-1,1,0,1,0
10,9,23,0,21,-1,0,0,0,0
11,1,22,0,5,-1,2,0,1,0
11,2,22,0,5,-1,2,0,1,0
11,3,22,0,8,-1,1,0,1,0
11,4,22,0,9,-1,1,0,1,0
11,5,23,0,9,-1,1,0,1,0
11,6,23,0,10,-1,1,0,1,0
11,7,24,0,10,-1,1,0,1,0
11,8,24,0,11,-1,1,0,1,0
11,9,25,0,11,-1,1,0,1,0
11,10,25,0,23,-1,0,0,0,0
12,1,26,0,3,-1,2,0,1,0
12,2,25,0,4,-1,3,0,1,0
12,3,24,0,6,-1,2,0,1,0
12,4,25,0,6,-1,2,0,1,0
12,5,24,0,10,-1,1,0,1,0
12,6,25,0,10,-1,1,0,1,0
12,7,25,0,11,-1,1,0,1,0
12,8,26,0,11,-1,1,0,1,0
12,9,26,0,12,-1,1,0,1,0
12,10,27,0,12,-1,1,0,1,0
12,11,27,0,25,-1,0,0,0,0
13,1,26,0,4,-1,3,0,1,0
13,2,25,0,6,-1,2,0,1,0
13,3,26,0,6,-1,2,0,1,0
13,4,25,0,10,-1,1,0,1,0
13,5,26,0,10,-1,1,0,1,0
13,6,26,0,11,-1,1,0,1,0
13,7,27,0,11,-1,1,0,1,0
13,8,27,0,12,-1,1,0,1,0
13,9,28,0,12,-1,1,0,1,0
13,10,28,0,13,-1,1,0,1,0
13,11,29,0,13,-1,1,0,1,0
13,12,29,0,27,-1,0,0,0,0
14,1,27,0,6,-1,2,0,1,0
14,2,28,0,6,-1,2,0,1,0
14,3,27,0,7,-1,2,0,1,0
14,4,28,0,7,-1,2,0,1,0
14,5,28,0,7,-1,2,0,1,0
14,6,28,0,11,-1,1,0,1,0
14,7,28,0,12,-1,1,0,1,0
14,8,29,0,12,-1,1,0,1,0
14,9,29,0,13,-1,1,0,1,0
14,10,30,0,13,-1,1,0,1,0
14,11,30,0,14,-1,1,0,1,0
14,12,31,0,14,-1,1,0,1,0
14,13,31,0,29,-1,0,0,0,0
15,1,31,0,3,-1,3,0,1,0
15,2,29,0,5,-1,3,0,1,0
15,3,30,0,5,-1,3,0,1,0
15,4,29,0,7,-1,2,0,1,0
15,5,29,0,11,-1,1,0,1,0
15,6,29,0,12,-1,1,0,1,0
15,7,30,0,12,-1,1,0,1,0
15,8,30,0,13,-1,1,0,1,0
15,9,31,0,13,-1,1,0,1,0
15,10,31,0,14,-1,1,0,1,0
15,11,32,0,14,-1,1,0,1,0
15,12,32,0,15,-1,1,0,1,0
15,13,33,0,15,-1,1,0,1,0
15,14,33,0,31,-1,0,0,0,0
16,1,32,0,4,-1,3,0,1,0
16,2,33,0,4,-1,3,0,1,0
16,3,31,0,7,-1,2,0,1,0
16,4,31,0,8,-1,2,0,1,0
16,5,31,0,8,-1,2,0,1,0
16,6,32,0,8,-1,2,0,1,0
16,7,31,0,13,-1,1,0,1,0
16,8,32,0,13,-1,1,0,1,0
16,9,32,0,14,-1,1,0,1,0
16,10,33,0,14,-1,1,0,1,0
16,11,33,0,15,-1,1,0,1,0
16,12,34,0,15,-1,1,0,1,0
16,13,34,0,16,-1,1,0,1,0
16,14,35,0,16,-1,1,0,1,0
16,15,35,0,33,-1,0,0,0,0
17,1,34,0,4,-1,3,0,1,0
17,2,32,0,7,-1,2,0,1,0
17,3,32,0,8,-1,2,0,1,0
17,4,32,0,8,-1,2,0,1,0
17,5,33,0,8,-1,2,0,1,0
17,6,32,0,13,-1,1,0,1,0
17,7,33,0,13,-1,1,0,1,0
17,8,33,0,14,-1,1,0,1,0
17,9,34,0,14,-1,1,0,1,0
17,10,34,0,15,-1,1,0,1,0
17,11,35,0,15,-1,1,0,1,0
17,12,35,0,16,-1,1,0,1,0
17,13,36,0,16,-1,1,0,1,0
17,14,36,0,17,-1,1,0,1,0
17,15,37,0,17,-1,1,0,1,0
17,16,37,0,35,-1,0,0,0,0
18,1,36,0,3,-1,3,0,1,0
18,2,35,0,6,-1,3,0,1,0
18,3,35,0,6,-1,3,0,1,0
18,4,36,0,6,-1,3,0,1,0
18,5,34,0,9,-1,2,0,1,0
18,6,35,0,9,-1,2,0,1,0
18,7,35,0,9,-1,2,0,1,0
18,8,35,0,14,-1,1,0,1,0
18,9,35,0,15,-1,1,0,1,0
18,10,36,0,15,-1,1,0,1,0
18,11,36,0,16,-1,1,0,1,0
18,12,37,0,16,-1,1,0,1,0
18,13,37,0,17,-1,1,0,1,0
18,14,38,0,17,-1,1,0,1,0
18,15,38,0,18,-1,1,0,1,0
18,16,39,0,18,-1,1,0,1,0
18,17,39,0,37,-1,0,0,0,0
19,1,36,0,6,-1,3,0,1,0
19,2,36,0,6,-1,3,0,1,0
19,3,37,0,6,-1,3,0,1,0
19,4,35,0,9,-1,2,0,1,0
19,5,36,0,9,-1,2,0,1,0
19,6,36,0,9,-1,2,0,1,0
19,7,36,0,14,-1,1,0,1,0
19,8,36,0,15,-1,1,0,1,0
19,9,37,0,15,-1,1,0,1,0
19,10,37,0,16,-1,1,0,1,0
19,11,38,0,16,-1,1,0,1,0
19,12,38,0,17,-1,1,0,1,0
19,13,39,0,17,-1,1,0,1,0
19,14,39,0,18,-1,1,0,1,0
19,15,40,0,18,-1,1,0,1,0
19,16,40,0,19,-1,1,0,1,0
19,17,41,0,19,-1,1,0,1,0
19,18,41,0,39,-1,0,0,0,0
20,1,40,0,4,-1,3,0,1,0
20,2,41,0,4,-1,3,0,1,0
20,3,38,0,5,-1,3,0,1,0
20,4,38,0,9,-1,2,0,1,0
20,5,38,0,9,-1,2,0,1,0
20,6,38,0,10,-1,2,0,1,0
20,7,38,0,10,-1,2,0,1,0
20,8,39,0,10,-1,2,0,1,0
20,9,38,0,16,-1,1,0,1,0
20,10,39,0,16,-1,1,0,1,0
20,11,39,0,17,-1,1,0,1,0
20,12,40,0,17,-1,1,0,1,0
20,13,40,0,18,-1,1,0,1,0
20,14,41,0,18,-1,1,0,1,0
20,15,41,0,19,-1,1,0,1,0
20,16,42,0,19,-1,1,0,1,0
20,17,42,0,20,-1,1,0,1,0
