k,bw,lifo_errors,fifo_errors,delta_errors,lifo_err_sources,fifo_err_sources,delta_err_sources,time_s
1,2.0,0,0,0,0,0,0,8.74
2,4.0,0,0,0,0,0,0,7.54
3,6.0,0,0,0,0,0,0,7.21
4,8.0,0,0,0,0,0,0,6.84
5,10.0,0,0,0,0,0,0,6.47
6,12.0,0,0,0,0,0,0,6.13
7,14.0,0,0,0,0,0,0,5.89
8,16.0,0,0,0,0,0,0,5.68
9,18.0,0,0,0,0,0,0,5.61
10,20.0,0,0,0,0,0,0,5.36
11,22.0,0,0,0,0,0,0,5.34
12,24.0,0,0,0,0,0,0,5.11
13,26.0,0,0,0,0,0,0,5.01
14,28.0,0,0,0,0,0,0,4.96
15,30.0,0,3,0,0,1,0,4.88
16,32.0,0,0,0,0,0,0,4.83
17,34.0,0,0,0,0,0,0,4.72
18,36.0,0,3,0,0,1,0,4.66
19,38.0,0,0,0,0,0,0,4.63
20,40.0,0,6,0,0,2,0,4.57
21,42.0,0,4,0,0,1,0,4.52
22,44.0,0,0,0,0,0,0,4.66
23,46.0,0,4,0,0,1,0,4.54
24,48.0,0,4,0,0,1,0,4.39
25,50.0,26,3,0,1,1,0,4.38
26,52.0,0,6,0,0,2,0,4.33
27,54.0,68,7,0,2,2,0,4.29
28,56.0,136,3,0,5,1,0,4.31
29,58.0,52,7,0,2,2,0,4.24
30,60.0,101,6,0,4,2,0,4.26
31,62.0,179,7,0,5,2,0,4.19
32,64.0,159,7,0,5,2,0,4.20
33,66.0,127,7,0,4,2,0,4.15
34,68.0,204,6,0,5,2,0,4.13
35,70.0,127,4,0,4,1,0,4.12
36,72.0,369,3,0,8,1,0,4.11
37,74.0,160,7,0,6,2,0,4.09
38,76.0,379,3,0,7,1,0,4.14
39,78.0,204,6,0,7,2,0,4.07
40,80.0,361,10,0,8,3,0,4.02
41,82.0,92,7,0,3,2,0,4.02
42,84.0,532,7,0,11,2,0,3.97
43,86.0,446,7,0,8,2,0,3.99
44,88.0,338,7,0,9,2,0,3.99
45,90.0,272,6,0,8,2,0,4.01
46,92.0,439,7,0,9,2,0,4.03
47,94.0,330,7,0,8,2,0,3.96
48,96.0,480,7,0,10,2,0,3.91
49,98.0,305,6,0,8,2,0,3.89
50,100.0,338,10,0,10,3,0,3.93
