k,bw,lifo_errors,fifo_errors,delta_errors,lifo_err_sources,fifo_err_sources,delta_err_sources,time_s
1,2.0,0,0,0,0,0,0,11.85
2,4.0,0,0,0,0,0,0,11.18
3,6.0,0,0,0,0,0,0,10.65
4,8.0,0,0,0,0,0,0,10.21
5,10.0,0,0,0,0,0,0,9.90
6,12.0,0,0,0,0,0,0,9.59
7,14.0,0,0,0,0,0,0,9.31
8,16.0,0,0,0,0,0,0,9.06
9,18.0,0,0,0,0,0,0,8.81
10,20.0,0,0,0,0,0,0,8.63
11,22.0,0,0,0,0,0,0,8.50
12,24.0,0,0,0,0,0,0,8.29
13,26.0,0,0,0,0,0,0,8.14
14,28.0,0,0,0,0,0,0,8.10
15,30.0,0,0,0,0,0,0,7.94
16,32.0,0,0,0,0,0,0,7.81
17,34.0,0,0,0,0,0,0,7.65
18,36.0,0,0,0,0,0,0,7.53
19,38.0,0,0,0,0,0,0,7.52
20,40.0,0,0,0,0,0,0,7.33
21,42.0,0,0,0,0,0,0,7.32
22,44.0,0,0,0,0,0,0,7.25
23,46.0,0,0,0,0,0,0,7.13
24,48.0,0,0,0,0,0,0,7.05
25,50.0,0,0,0,0,0,0,7.04
26,52.0,0,0,0,0,0,0,6.95
27,54.0,0,0,0,0,0,0,6.87
28,56.0,0,0,0,0,0,0,6.77
29,58.0,0,0,0,0,0,0,6.75
30,60.0,0,0,0,0,0,0,6.66
31,62.0,0,0,0,0,0,0,6.63
32,64.0,0,0,0,0,0,0,6.61
33,66.0,0,0,0,0,0,0,6.60
34,68.0,0,0,0,0,0,0,6.46
35,70.0,0,0,0,0,0,0,6.54
36,72.0,0,0,0,0,0,0,6.49
37,74.0,0,0,0,0,0,0,6.42
38,76.0,0,0,0,0,0,0,6.31
39,78.0,0,0,0,0,0,0,6.36
40,80.0,0,0,0,0,0,0,6.34
41,82.0,1,0,0,1,0,0,6.27
42,84.0,0,0,0,0,0,0,6.19
43,86.0,0,0,0,0,0,0,6.17
44,88.0,1,0,0,1,0,0,6.15
45,90.0,1,0,0,1,0,0,6.11
46,92.0,0,0,0,0,0,0,6.18
47,94.0,0,0,0,0,0,0,6.10
48,96.0,1,0,0,1,0,0,6.10
49,98.0,0,0,0,0,0,0,6.02
50,100.0,0,0,0,0,0,0,6.05
