k,bw,lifo_errors,fifo_errors,delta_errors,lifo_err_sources,fifo_err_sources,delta_err_sources,time_s
1,1.0,0,0,0,0,0,0,16.91
2,2.0,0,0,0,0,0,0,15.91
3,3.0,0,0,0,0,0,0,14.91
4,4.0,0,0,0,0,0,0,14.33
5,5.0,0,0,0,0,0,0,13.73
6,6.0,0,0,0,0,0,0,13.41
7,7.0,0,0,0,0,0,0,13.03
8,8.0,0,0,0,0,0,0,12.66
9,9.0,0,0,0,0,0,0,12.16
10,10.0,0,0,0,0,0,0,11.81
11,11.0,0,0,0,0,0,0,11.42
12,12.0,0,0,0,0,0,0,11.24
13,13.0,0,0,0,0,0,0,11.12
14,14.0,0,0,0,0,0,0,10.78
15,15.0,0,0,0,0,0,0,10.64
16,16.0,0,0,0,0,0,0,10.55
17,17.0,0,0,0,0,0,0,10.58
18,18.0,0,0,0,0,0,0,10.17
19,19.0,0,0,0,0,0,0,10.08
20,20.0,0,0,0,0,0,0,10.23
21,21.0,0,0,0,0,0,0,9.91
22,22.0,0,0,0,0,0,0,9.71
23,23.0,0,0,0,0,0,0,9.87
24,24.0,0,0,0,0,0,0,9.67
25,25.0,2,0,0,1,0,0,9.42
26,26.0,0,0,0,0,0,0,9.48
27,27.0,6,0,0,3,0,0,9.29
28,28.0,2,0,0,1,0,0,9.15
29,29.0,0,0,0,0,0,0,9.08
30,30.0,0,0,0,0,0,0,9.00
31,31.0,2,0,0,1,0,0,9.02
32,32.0,4,0,0,2,0,0,9.22
33,33.0,6,0,0,3,0,0,8.99
34,34.0,8,0,0,4,0,0,8.85
35,35.0,2,0,0,1,0,0,8.90
36,36.0,8,0,0,4,0,0,8.67
37,37.0,8,1,0,4,1,0,8.72
38,38.0,10,1,0,5,1,0,8.74
39,39.0,6,1,0,3,1,0,8.58
40,40.0,2,1,0,1,1,0,8.48
41,41.0,2,0,0,1,0,0,8.74
42,42.0,9,1,0,3,1,0,8.76
43,43.0,5,0,0,2,0,0,8.57
44,44.0,0,0,0,0,0,0,8.29
45,45.0,10,1,0,5,1,0,8.40
46,46.0,9,1,0,5,1,0,9.30
47,47.0,11,2,0,5,2,0,10.48
48,48.0,11,1,0,6,1,0,11.34
49,49.0,7,4,0,3,3,0,9.07
50,50.0,13,0,0,7,0,0,8.42
