k,bw,lifo_errors,fifo_errors,delta_errors,lifo_err_sources,fifo_err_sources,delta_err_sources,time_s
1,2.0,0,0,0,0,0,0,18.92
2,4.0,0,0,0,0,0,0,17.39
3,6.0,0,0,0,0,0,0,16.03
4,8.0,0,0,0,0,0,0,15.01
5,10.0,0,0,0,0,0,0,14.28
6,12.0,0,0,0,0,0,0,13.65
7,14.0,0,0,0,0,0,0,13.15
8,16.0,0,0,0,0,0,0,12.80
9,18.0,0,0,0,0,0,0,12.41
10,20.0,0,0,0,0,0,0,12.12
11,22.0,0,0,0,0,0,0,11.76
12,24.0,0,4,0,0,2,0,11.53
13,26.0,0,4,0,0,2,0,11.42
14,28.0,4,4,0,1,2,0,11.23
15,30.0,0,4,0,0,2,0,10.90
16,32.0,4,6,0,1,3,0,10.76
17,34.0,0,4,0,0,2,0,11.25
18,36.0,0,10,0,0,5,0,10.87
19,38.0,0,8,0,0,4,0,10.75
20,40.0,0,4,0,0,2,0,10.60
21,42.0,4,10,0,1,5,0,11.10
22,44.0,5,10,0,2,5,0,10.72
23,46.0,4,10,0,1,5,0,10.15
24,48.0,4,14,0,1,7,0,10.07
25,50.0,4,6,0,1,3,0,9.89
26,52.0,1,9,0,1,4,0,9.73
27,54.0,4,12,0,1,6,0,9.70
28,56.0,4,8,0,1,4,0,9.54
29,58.0,4,10,0,1,5,0,9.48
30,60.0,5,13,0,2,7,0,9.37
31,62.0,0,10,0,0,5,0,9.32
32,64.0,5,13,0,2,7,0,9.41
33,66.0,6,10,0,3,5,0,9.25
34,68.0,2,13,0,2,6,0,9.17
35,70.0,5,14,0,2,6,0,9.24
36,72.0,4,15,0,3,6,0,9.12
37,74.0,5,13,0,2,7,0,9.11
38,76.0,6,16,0,2,7,0,9.02
39,78.0,3,24,0,2,8,0,9.24
40,80.0,6,27,0,3,7,0,8.97
41,82.0,6,21,0,2,7,0,8.88
42,84.0,8,12,0,4,6,0,8.87
43,86.0,6,43,0,3,7,0,8.86
44,88.0,8,38,0,5,8,0,8.78
45,90.0,6,29,0,3,7,0,8.74
46,92.0,8,45,0,5,7,0,8.73
47,94.0,11,43,0,7,7,0,8.75
48,96.0,8,38,0,4,8,0,8.64
49,98.0,10,28,0,6,7,0,8.68
50,100.0,9,29,0,4,7,0,8.61
