k,bw,lifo_errors,fifo_errors,delta_errors,lifo_err_sources,fifo_err_sources,delta_err_sources,time_s
1,1.0,0,0,0,0,0,0,258.96
2,2.0,0,0,0,0,0,0,231.16
3,3.0,0,0,0,0,0,0,209.39
4,4.0,0,0,0,0,0,0,193.75
5,5.0,0,0,0,0,0,0,185.16
6,6.0,0,0,0,0,0,0,176.54
7,7.0,0,0,0,0,0,0,171.75
8,8.0,0,0,0,0,0,0,166.70
9,9.0,1,0,0,1,0,0,162.35
10,10.0,1,0,0,1,0,0,159.45
11,11.0,1,0,0,1,0,0,155.12
12,12.0,1,0,0,1,0,0,152.62
13,13.0,21,0,0,3,0,0,150.09
14,14.0,10,0,0,3,0,0,148.40
15,15.0,4,241,0,1,2,0,146.60
16,16.0,3,153,0,3,1,0,146.09
17,17.0,6,153,0,2,1,0,143.69
18,18.0,64,88,0,3,1,0,142.76
19,19.0,52,306,0,3,2,0,141.56
20,20.0,18,394,0,4,3,0,138.83
21,21.0,21,394,0,3,3,0,136.15
22,22.0,81,156,0,4,2,0,134.31
23,23.0,60,401,0,4,3,0,133.78
24,24.0,46,395,0,4,3,0,132.39
25,25.0,52,156,0,4,3,0,131.99
26,26.0,97,7,0,4,2,0,130.38
27,27.0,127,106,0,4,4,0,133.97
28,28.0,68,404,0,4,4,0,129.75
29,29.0,120,405,0,4,4,0,129.76
30,30.0,106,403,0,4,4,0,130.95
31,31.0,90,402,0,4,4,0,129.32
32,32.0,112,250,0,4,2,0,130.82
33,33.0,91,406,0,4,4,0,127.68
34,34.0,118,413,0,4,4,0,128.46
35,35.0,78,401,0,4,3,0,124.56
36,36.0,125,258,0,4,4,0,123.97
37,37.0,684,170,0,4,4,0,124.05
38,38.0,166,576,0,4,4,0,123.35
39,39.0,203,414,0,4,4,0,124.27
40,40.0,100,415,0,4,4,0,121.85
41,41.0,175,416,0,4,4,0,123.17
42,42.0,155,570,0,4,4,0,121.93
43,43.0,138,424,0,4,4,0,120.78
44,44.0,678,175,0,4,4,0,121.66
45,45.0,153,573,0,4,4,0,120.30
46,46.0,268,429,0,4,4,0,120.63
47,47.0,880,434,0,4,4,0,120.06
48,48.0,316,433,0,4,4,0,119.88
49,49.0,221,354,0,4,4,0,120.70
50,50.0,337,344,0,4,4,0,118.87
