n,seed,wmin,bsafe,bsafe_ratio,non_monotonic,gap_count
5,0,19,500,26.32,0,0
5,1,3,500,166.67,0,0
5,2,10,81,8.10,0,0
5,3,7,500,71.43,0,0
5,4,2,57,28.50,0,0
5,5,8,22,2.75,1,4
5,6,1,500,500.00,0,0
5,7,3,500,166.67,0,0
5,8,11,500,45.45,0,0
5,9,16,23,1.44,1,1
5,10,6,500,83.33,0,0
5,11,18,27,1.50,1,3
5,12,1,101,101.00,0,0
5,13,3,98,32.67,0,0
5,14,18,38,2.11,1,1
5,15,9,500,55.56,0,0
5,16,8,37,4.62,1,1
5,17,1,4,4.00,1,8
5,18,29,101,3.48,0,0
5,19,17,500,29.41,0,0
5,20,3,44,14.67,1,1
5,21,4,500,125.00,0,0
5,22,14,500,35.71,0,0
5,23,17,500,29.41,0,0
5,24,5,65,13.00,0,0
5,25,11,72,6.55,0,0
5,26,25,500,20.00,0,0
5,27,1,106,106.00,0,0
5,28,3,500,166.67,0,0
5,29,6,143,23.83,0,0
5,30,8,41,5.12,1,2
5,31,11,62,5.64,0,0
5,32,1,500,500.00,0,0
5,33,11,66,6.00,0,0
5,34,14,500,35.71,0,0
5,35,1,500,500.00,0,0
5,36,2,500,250.00,0,0
5,37,1,500,500.00,0,0
5,38,3,500,166.67,0,0
5,39,1,88,88.00,0,0
5,40,22,500,22.73,0,0
5,41,2,50,25.00,0,0
5,42,5,70,14.00,0,0
5,43,2,74,37.00,0,0
5,44,2,97,48.50,0,0
5,45,2,48,24.00,0,0
5,46,14,500,35.71,0,0
5,47,3,500,166.67,0,0
5,48,10,500,50.00,0,0
5,49,3,38,12.67,0,0
10,0,4,29,7.25,1,1
10,1,3,26,8.67,1,1
10,2,1,30,30.00,1,1
10,3,1,52,52.00,1,1
10,4,4,121,30.25,0,0
10,5,2,31,15.50,0,0
10,6,1,500,500.00,0,0
10,7,3,68,22.67,1,1
10,8,3,38,12.67,1,1
10,9,2,84,42.00,1,1
10,10,6,20,3.33,1,3
10,11,6,27,4.50,1,5
10,12,9,41,4.56,1,2
10,13,6,13,2.17,1,3
10,14,8,43,5.38,1,3
10,15,1,30,30.00,1,3
10,16,3,17,5.67,1,5
10,17,1,36,36.00,1,2
10,18,1,35,35.00,1,2
10,19,4,31,7.75,1,4
10,20,2,40,20.00,1,1
10,21,2,28,14.00,1,3
10,22,3,56,18.67,1,3
10,23,4,44,11.00,1,1
10,24,1,19,19.00,1,4
10,25,8,32,4.00,1,3
10,26,8,181,22.62,0,0
10,27,1,12,12.00,1,4
10,28,4,64,16.00,0,0
10,29,6,43,7.17,1,1
10,30,7,37,5.29,1,2
10,31,2,30,15.00,1,3
10,32,1,42,42.00,0,0
10,33,8,95,11.88,0,0
10,34,1,26,26.00,1,1
10,35,3,36,12.00,1,1
10,36,2,167,83.50,0,0
10,37,7,70,10.00,0,0
10,38,14,98,7.00,0,0
10,39,3,35,11.67,1,1
10,40,1,75,75.00,1,1
10,41,1,199,199.00,0,0
10,42,2,61,30.50,0,0
10,43,4,59,14.75,0,0
10,44,1,83,83.00,0,0
10,45,5,38,7.60,1,2
10,46,6,13,2.17,1,4
10,47,7,118,16.86,0,0
10,48,1,31,31.00,1,1
10,49,1,135,135.00,0,0
20,0,4,14,3.50,1,13
20,1,2,30,15.00,1,2
20,2,4,47,11.75,1,2
20,3,1,14,14.00,1,6
20,4,1,18,18.00,1,2
20,5,2,18,9.00,1,4
20,6,1,14,14.00,1,6
20,7,2,13,6.50,1,4
20,8,1,38,38.00,1,3
20,9,2,29,14.50,1,5
20,10,2,47,23.50,1,1
20,11,2,75,37.50,1,1
20,12,1,59,59.00,1,1
20,13,4,44,11.00,1,1
20,14,1,36,36.00,1,3
20,15,1,49,49.00,1,2
20,16,3,30,10.00,1,3
20,17,2,26,13.00,1,4
20,18,1,22,22.00,1,1
20,19,1,52,52.00,1,1
20,20,2,18,9.00,1,5
20,21,1,32,32.00,1,2
20,22,2,28,14.00,1,7
20,23,2,44,22.00,1,1
20,24,1,45,45.00,1,2
20,25,4,39,9.75,1,1
20,26,3,47,15.67,1,2
20,27,1,39,39.00,1,1
20,28,1,25,25.00,1,3
20,29,1,40,40.00,1,1
20,30,3,30,10.00,1,2
20,31,5,29,5.80,1,4
20,32,1,18,18.00,1,4
20,33,1,10,10.00,1,6
20,34,2,29,14.50,1,4
20,35,1,20,20.00,1,3
20,36,8,31,3.88,1,2
20,37,1,45,45.00,0,0
20,38,3,30,10.00,1,6
20,39,2,14,7.00,1,9
20,40,1,43,43.00,1,3
20,41,1,42,42.00,1,1
20,42,1,16,16.00,1,2
20,43,1,37,37.00,1,4
20,44,1,15,15.00,1,4
20,45,3,27,9.00,1,2
20,46,6,23,3.83,1,4
20,47,3,18,6.00,1,4
20,48,5,27,5.40,0,0
20,49,1,31,31.00,0,0
50,0,2,13,6.50,1,6
50,1,1,16,16.00,1,2
50,2,1,8,8.00,1,4
50,3,1,12,12.00,1,4
50,4,1,10,10.00,1,9
50,5,2,25,12.50,1,3
50,6,1,4,4.00,1,3
50,7,2,14,7.00,1,4
50,8,1,37,37.00,1,2
50,9,1,18,18.00,1,6
50,10,1,8,8.00,1,6
50,11,1,12,12.00,1,9
50,12,1,18,18.00,1,4
50,13,3,18,6.00,1,2
50,14,1,14,14.00,1,4
50,15,1,23,23.00,1,3
50,16,4,23,5.75,1,4
50,17,1,19,19.00,1,3
50,18,1,33,33.00,1,2
50,19,2,8,4.00,1,7
50,20,1,39,39.00,1,2
50,21,1,14,14.00,1,3
50,22,2,27,13.50,1,3
50,23,1,18,18.00,1,3
50,24,1,18,18.00,1,3
50,25,1,26,26.00,1,5
50,26,1,21,21.00,1,3
50,27,1,18,18.00,1,6
50,28,3,8,2.67,1,7
50,29,1,6,6.00,1,7
50,30,1,30,30.00,1,2
50,31,2,16,8.00,1,5
50,32,1,20,20.00,1,3
50,33,2,9,4.50,1,6
50,34,1,22,22.00,1,3
50,35,1,14,14.00,1,5
50,36,2,14,7.00,1,8
50,37,1,5,5.00,1,7
50,38,1,18,18.00,1,4
50,39,1,9,9.00,1,5
50,40,1,14,14.00,1,4
50,41,1,15,15.00,1,5
50,42,1,12,12.00,1,2
50,43,1,21,21.00,1,2
50,44,1,14,14.00,1,4
50,45,1,14,14.00,1,3
50,46,1,20,20.00,1,2
50,47,1,25,25.00,1,2
50,48,1,35,35.00,1,1
50,49,1,13,13.00,1,5
100,0,1,7,7.00,1,4
100,1,1,19,19.00,1,4
100,2,1,21,21.00,1,3
100,3,1,17,17.00,1,3
100,4,1,8,8.00,1,2
100,5,1,15,15.00,1,5
100,6,1,16,16.00,1,5
100,7,1,18,18.00,1,4
100,8,1,17,17.00,1,3
100,9,1,11,11.00,1,3
100,10,1,21,21.00,1,3
100,11,1,21,21.00,1,2
100,12,1,9,9.00,1,3
100,13,2,15,7.50,1,4
100,14,1,10,10.00,1,5
100,15,1,10,10.00,1,2
100,16,1,17,17.00,1,3
100,17,1,26,26.00,1,2
100,18,1,15,15.00,1,4
100,19,1,6,6.00,1,5
200,0,1,10,10.00,1,1
200,1,1,17,17.00,1,2
200,2,1,18,18.00,1,4
200,3,1,17,17.00,1,3
200,4,1,14,14.00,1,1
200,5,1,3,3.00,1,1
200,6,1,14,14.00,1,3
200,7,1,11,11.00,1,6
200,8,1,10,10.00,1,5
200,9,1,17,17.00,1,2
200,10,1,4,4.00,1,1
200,11,1,16,16.00,1,1
200,12,1,8,8.00,0,0
200,13,1,13,13.00,1,3
200,14,1,16,16.00,1,4
200,15,1,2,2.00,1,1
200,16,1,11,11.00,1,5
200,17,1,17,17.00,1,1
200,18,1,9,9.00,1,6
200,19,1,7,7.00,1,2
