P1,W1,P2,W2,bw,err_d1,err_d2,err_chain,union_correct
3,1,3,1,2,0,0,0,1
3,1,3,1,3,1,1,1,1
3,1,3,1,4,0,0,0,1
3,1,3,1,5,0,0,1,0
3,1,3,1,6,1,1,1,1
3,1,3,1,7,1,1,1,1
3,1,3,1,8,1,1,1,1
3,1,3,1,9,1,1,1,1
3,1,3,1,10,1,1,1,1
3,1,3,1,11,1,1,1,1
3,1,3,1,12,1,1,1,1
3,1,3,1,13,1,1,1,1
3,1,3,1,14,1,1,1,1
3,1,3,1,15,1,1,1,1
3,1,3,1,16,1,1,1,1
3,1,3,1,17,1,1,1,1
3,1,3,1,18,1,1,1,1
3,1,3,1,19,1,1,1,1
3,1,6,1,2,0,0,0,1
3,1,6,1,3,1,1,1,1
3,1,6,1,4,0,0,0,1
3,1,6,1,5,0,1,1,1
3,1,6,1,6,1,1,1,1
3,1,6,1,7,1,0,1,1
3,1,6,1,8,1,0,1,1
3,1,6,1,9,1,1,1,1
3,1,6,1,10,1,1,1,1
3,1,6,1,11,1,1,1,1
3,1,6,1,12,1,1,1,1
3,1,6,1,13,1,1,1,1
3,1,6,1,14,1,1,1,1
3,1,6,1,15,1,1,1,1
3,1,6,1,16,1,1,1,1
3,1,6,1,17,1,1,1,1
3,1,6,1,18,1,1,1,1
3,1,6,1,19,1,1,1,1
3,1,6,1,20,1,1,1,1
3,1,6,1,21,1,1,1,1
3,1,6,1,22,1,1,1,1
3,1,6,3,2,0,0,0,1
3,1,6,3,3,1,0,1,1
3,1,6,3,4,0,0,0,1
3,1,6,3,5,0,0,1,0
3,1,6,3,6,1,1,1,1
3,1,6,3,7,1,0,1,1
3,1,6,3,8,1,0,1,1
3,1,6,3,9,1,0,1,1
3,1,6,3,10,1,0,1,1
3,1,6,3,11,1,1,1,1
3,1,6,3,12,1,1,1,1
3,1,6,3,13,1,1,1,1
3,1,6,3,14,1,1,1,1
3,1,6,3,15,1,1,1,1
3,1,6,3,16,1,1,1,1
3,1,6,3,17,1,1,1,1
3,1,6,3,18,1,1,1,1
3,1,6,3,19,1,1,1,1
3,1,6,3,20,1,1,1,1
3,1,6,3,21,1,1,1,1
3,1,6,3,22,1,1,1,1
3,1,6,3,23,1,1,1,1
3,1,6,3,24,1,1,1,1
3,1,6,5,2,0,0,0,1
3,1,6,5,3,1,0,1,1
3,1,6,5,4,0,0,0,1
3,1,6,5,5,0,0,0,1
3,1,6,5,6,1,0,1,1
3,1,6,5,7,1,0,1,1
3,1,6,5,8,1,0,1,1
3,1,6,5,9,1,0,1,1
3,1,6,5,10,1,0,1,1
3,1,6,5,11,1,0,1,1
3,1,6,5,12,1,0,1,1
3,1,6,5,13,1,1,1,1
3,1,6,5,14,1,1,1,1
3,1,6,5,15,1,1,1,1
3,1,6,5,16,1,1,1,1
3,1,6,5,17,1,1,1,1
3,1,6,5,18,1,1,1,1
3,1,6,5,19,1,1,1,1
3,1,6,5,20,1,1,1,1
3,1,6,5,21,1,1,1,1
3,1,6,5,22,1,1,1,1
3,1,6,5,23,1,1,1,1
3,1,6,5,24,1,1,1,1
3,1,6,5,25,1,1,1,1
3,1,6,5,26,1,1,1,1
3,1,9,1,2,0,0,0,1
3,1,9,1,3,1,1,1,1
3,1,9,1,4,0,1,1,1
3,1,9,1,5,0,0,0,1
3,1,9,1,6,1,1,1,1
3,1,9,1,7,1,1,1,1
3,1,9,1,8,1,1,1,1
3,1,9,1,9,1,1,1,1
3,1,9,1,10,1,0,1,1
3,1,9,1,11,1,0,1,1
3,1,9,1,12,1,1,1,1
3,1,9,1,13,1,1,1,1
3,1,9,1,14,1,1,1,1
3,1,9,1,15,1,1,1,1
3,1,9,1,16,1,1,1,1
3,1,9,1,17,1,1,1,1
3,1,9,1,18,1,1,1,1
3,1,9,1,19,1,1,1,1
3,1,9,1,20,1,1,1,1
3,1,9,1,21,1,1,1,1
3,1,9,1,22,1,1,1,1
3,1,9,1,23,1,1,1,1
3,1,9,1,24,1,1,1,1
3,1,9,1,25,1,1,1,1
3,1,9,3,2,0,0,0,1
3,1,9,3,3,1,0,1,1
3,1,9,3,4,0,0,0,1
3,1,9,3,5,0,0,0,1
3,1,9,3,6,1,0,1,1
3,1,9,3,7,1,1,1,1
3,1,9,3,8,1,1,1,1
3,1,9,3,9,1,1,1,1
3,1,9,3,10,1,0,1,1
3,1,9,3,11,1,0,1,1
3,1,9,3,12,1,0,1,1
3,1,9,3,13,1,0,1,1
3,1,9,3,14,1,1,1,1
3,1,9,3,15,1,1,1,1
3,1,9,3,16,1,1,1,1
3,1,9,3,17,1,1,1,1
3,1,9,3,18,1,1,1,1
3,1,9,3,19,1,1,1,1
3,1,9,3,20,1,1,1,1
3,1,9,3,21,1,1,1,1
3,1,9,3,22,1,1,1,1
3,1,9,3,23,1,1,1,1
3,1,9,3,24,1,1,1,1
3,1,9,3,25,1,1,1,1
3,1,9,3,26,1,1,1,1
3,1,9,3,27,1,1,1,1
3,1,9,5,2,0,0,0,1
3,1,9,5,3,1,0,1,1
3,1,9,5,4,0,0,0,1
3,1,9,5,5,0,0,0,1
3,1,9,5,6,1,0,1,1
3,1,9,5,7,1,0,1,1
3,1,9,5,8,1,1,1,1
3,1,9,5,9,1,1,1,1
3,1,9,5,10,1,0,1,1
3,1,9,5,11,1,0,1,1
3,1,9,5,12,1,0,1,1
3,1,9,5,13,1,0,1,1
3,1,9,5,14,1,0,1,1
3,1,9,5,15,1,0,1,1
3,1,9,5,16,1,1,1,1
3,1,9,5,17,1,1,1,1
3,1,9,5,18,1,1,1,1
3,1,9,5,19,1,1,1,1
3,1,9,5,20,1,1,1,1
3,1,9,5,21,1,1,1,1
3,1,9,5,22,1,1,1,1
3,1,9,5,23,1,1,1,1
3,1,9,5,24,1,1,1,1
3,1,9,5,25,1,1,1,1
3,1,9,5,26,1,1,1,1
3,1,9,5,27,1,1,1,1
3,1,9,5,28,1,1,1,1
3,1,9,5,29,1,1,1,1
3,1,9,7,2,0,0,0,1
3,1,9,7,3,1,0,1,1
3,1,9,7,4,0,0,0,1
3,1,9,7,5,0,0,0,1
3,1,9,7,6,1,0,1,1
3,1,9,7,7,1,0,1,1
3,1,9,7,8,1,0,1,1
3,1,9,7,9,1,1,1,1
3,1,9,7,10,1,0,1,1
3,1,9,7,11,1,0,1,1
3,1,9,7,12,1,0,1,1
3,1,9,7,13,1,0,1,1
3,1,9,7,14,1,0,1,1
3,1,9,7,15,1,0,1,1
3,1,9,7,16,1,0,1,1
3,1,9,7,17,1,0,1,1
3,1,9,7,18,1,1,1,1
3,1,9,7,19,1,1,1,1
3,1,9,7,20,1,1,1,1
3,1,9,7,21,1,1,1,1
3,1,9,7,22,1,1,1,1
3,1,9,7,23,1,1,1,1
3,1,9,7,24,1,1,1,1
3,1,9,7,25,1,1,1,1
3,1,9,7,26,1,1,1,1
3,1,9,7,27,1,1,1,1
3,1,9,7,28,1,1,1,1
3,1,9,7,29,1,1,1,1
3,1,9,7,30,1,1,1,1
3,1,9,7,31,1,1,1,1
3,1,12,1,2,0,0,0,1
3,1,12,1,3,1,1,1,1
3,1,12,1,4,0,1,1,1
3,1,12,1,5,0,1,1,1
3,1,12,1,6,1,1,1,1
3,1,12,1,7,1,0,1,1
3,1,12,1,8,1,1,1,1
3,1,12,1,9,1,1,1,1
3,1,12,1,10,1,1,1,1
3,1,12,1,11,1,1,1,1
