n,seed,base_bsafe,edge_idx,perturb,new_bsafe,shift
10,0,29,0,+1,29,0
10,0,29,0,-1,28,-1
10,0,29,1,+1,19,-10
10,0,29,1,-1,29,0
10,0,29,2,+1,29,0
10,0,29,2,-1,29,0
10,0,29,3,+1,29,0
10,0,29,3,-1,29,0
10,0,29,4,+1,29,0
10,0,29,4,-1,29,0
10,0,29,5,+1,29,0
10,0,29,5,-1,29,0
10,0,29,6,+1,29,0
10,0,29,6,-1,29,0
10,0,29,7,+1,29,0
10,0,29,7,-1,29,0
10,0,29,8,+1,29,0
10,0,29,8,-1,29,0
10,0,29,9,+1,29,0
10,0,29,9,-1,29,0
10,0,29,10,+1,29,0
10,0,29,10,-1,29,0
10,0,29,11,+1,29,0
10,0,29,11,-1,29,0
10,0,29,12,+1,29,0
10,0,29,12,-1,29,0
10,0,29,13,+1,29,0
10,0,29,13,-1,29,0
10,0,29,14,+1,29,0
10,0,29,14,-1,29,0
10,0,29,15,+1,19,-10
10,0,29,15,-1,29,0
10,0,29,16,+1,29,0
10,0,29,16,-1,29,0
10,0,29,17,+1,29,0
10,0,29,17,-1,28,-1
10,0,29,18,+1,29,0
10,0,29,18,-1,29,0
10,0,29,19,+1,29,0
10,0,29,19,-1,29,0
10,0,29,20,+1,29,0
10,0,29,20,-1,29,0
10,0,29,21,+1,29,0
10,0,29,21,-1,29,0
10,0,29,22,+1,29,0
10,0,29,22,-1,29,0
10,0,29,23,+1,29,0
10,0,29,23,-1,29,0
10,0,29,24,+1,29,0
10,0,29,24,-1,29,0
10,0,29,25,+1,29,0
10,0,29,25,-1,29,0
10,0,29,26,+1,29,0
10,0,29,26,-1,29,0
10,0,29,27,+1,29,0
10,0,29,27,-1,29,0
10,0,29,28,+1,29,0
10,0,29,28,-1,29,0
10,0,29,29,+1,29,0
10,0,29,29,-1,29,0
10,0,29,30,+1,29,0
10,0,29,30,-1,29,0
10,0,29,31,+1,29,0
10,0,29,31,-1,29,0
10,0,29,32,+1,29,0
10,0,29,32,-1,29,0
10,0,29,33,+1,29,0
10,0,29,33,-1,29,0
10,0,29,34,+1,29,0
10,0,29,34,-1,29,0
10,0,29,35,+1,29,0
10,0,29,35,-1,29,0
10,0,29,36,+1,29,0
10,0,29,36,-1,29,0
10,0,29,37,+1,29,0
10,0,29,37,-1,29,0
10,0,29,38,+1,29,0
10,0,29,38,-1,29,0
10,0,29,39,+1,29,0
10,0,29,39,-1,29,0
10,1,26,0,+1,26,0
10,1,26,0,-1,26,0
