n,m,seed,wmin,wmax,wmean,wstd,avg_deg,bsafe,bsafe_ratio
10,40,0,4,100,57.6,29.6,4.0,29,7.25
10,38,1,3,100,51.0,29.4,3.8,26,8.67
10,38,2,1,99,43.8,29.2,3.8,30,30.00
10,38,3,1,100,50.4,30.4,3.8,52,52.00
10,38,4,4,100,53.2,21.7,3.8,121,30.25
10,39,5,2,100,42.7,34.9,3.9,31,15.50
10,40,6,1,92,47.5,27.5,4.0,500,500.00
10,40,7,3,96,51.1,28.4,4.0,68,22.67
10,40,8,3,96,47.4,29.1,4.0,38,12.67
10,39,9,2,93,52.2,27.5,3.9,84,42.00
10,39,10,6,99,44.9,29.1,3.9,20,3.33
10,34,11,6,93,48.0,26.1,3.4,27,4.50
10,39,12,9,91,54.8,25.1,3.9,41,4.56
10,39,13,6,93,42.1,26.1,3.9,13,2.17
10,38,14,8,100,59.5,24.5,3.8,43,5.38
10,37,15,1,95,48.2,25.5,3.7,30,30.00
10,35,16,3,97,51.5,32.2,3.5,17,5.67
10,36,17,1,98,53.2,28.5,3.6,36,36.00
10,40,18,1,97,52.0,27.4,4.0,35,35.00
10,40,19,4,100,53.1,28.2,4.0,31,7.75
10,37,20,2,99,46.9,29.7,3.7,40,20.00
10,39,21,2,100,53.5,31.2,3.9,28,14.00
10,39,22,3,98,55.2,26.9,3.9,56,18.67
10,35,23,4,98,49.7,28.0,3.5,44,11.00
10,40,24,1,98,51.8,34.3,4.0,19,19.00
10,37,25,8,99,56.6,24.5,3.7,32,4.00
10,32,26,8,100,53.0,29.3,3.2,181,22.62
10,37,27,1,97,48.8,28.1,3.7,12,12.00
10,37,28,4,93,47.4,25.3,3.7,64,16.00
10,37,29,6,98,53.9,30.9,3.7,43,7.17
10,38,30,7,99,48.5,27.6,3.8,37,5.29
10,36,31,2,96,57.9,29.3,3.6,30,15.00
10,39,32,1,96,44.5,30.6,3.9,42,42.00
10,40,33,8,100,47.8,25.0,4.0,95,11.88
10,40,34,1,99,41.5,31.5,4.0,26,26.00
10,37,35,3,98,47.8,27.3,3.7,36,12.00
10,39,36,2,100,52.0,29.1,3.9,167,83.50
10,35,37,7,94,50.3,29.9,3.5,70,10.00
10,37,38,14,87,51.8,22.5,3.7,98,7.00
10,39,39,3,100,49.3,29.5,3.9,35,11.67
10,37,40,1,99,50.5,33.7,3.7,75,75.00
10,36,41,1,99,52.6,28.0,3.6,199,199.00
10,38,42,2,91,37.2,24.8,3.8,61,30.50
10,37,43,4,98,55.2,33.9,3.7,59,14.75
10,38,44,1,100,51.0,26.4,3.8,83,83.00
10,40,45,5,90,54.8,26.8,4.0,38,7.60
10,39,46,6,99,42.5,26.7,3.9,13,2.17
10,40,47,7,95,54.8,31.0,4.0,118,16.86
10,39,48,1,99,48.6,30.5,3.9,31,31.00
10,37,49,1,97,47.8,27.4,3.7,135,135.00
20,75,0,4,100,52.9,29.5,3.8,14,3.50
20,75,1,2,100,50.1,32.2,3.8,30,15.00
20,75,2,4,99,54.8,29.4,3.8,47,11.75
20,79,3,1,100,47.9,24.4,4.0,14,14.00
20,77,4,1,100,50.8,29.4,3.9,18,18.00
20,78,5,2,99,48.4,31.6,3.9,18,9.00
20,79,6,1,100,43.9,28.2,4.0,14,14.00
20,79,7,2,100,43.2,31.7,4.0,13,6.50
20,75,8,1,100,51.4,25.0,3.8,38,38.00
20,79,9,2,96,45.8,27.2,4.0,29,14.50
20,77,10,2,96,45.6,29.4,3.9,47,23.50
20,77,11,2,95,52.6,25.9,3.9,75,37.50
20,80,12,1,98,49.0,29.8,4.0,59,59.00
20,78,13,4,99,49.6,29.4,3.9,44,11.00
20,77,14,1,100,52.2,28.0,3.9,36,36.00
20,78,15,1,99,49.8,29.1,3.9,49,49.00
20,79,16,3,100,57.3,28.7,4.0,30,10.00
20,77,17,2,98,49.0,30.2,3.9,26,13.00
20,80,18,1,99,51.7,28.0,4.0,22,22.00
20,77,19,1,100,51.5,25.4,3.9,52,52.00
20,79,20,2,100,45.7,27.6,4.0,18,9.00
20,78,21,1,100,54.7,29.0,3.9,32,32.00
20,78,22,2,98,51.9,25.0,3.9,28,14.00
20,77,23,2,98,55.5,30.3,3.9,44,22.00
20,79,24,1,99,49.0,31.4,4.0,45,45.00
20,78,25,4,100,49.5,28.0,3.9,39,9.75
20,77,26,3,96,49.6,28.7,3.9,47,15.67
20,78,27,1,96,49.3,27.2,3.9,39,39.00
20,76,28,1,98,50.9,26.9,3.8,25,25.00
20,79,29,1,97,51.7,33.0,4.0,40,40.00
20,80,30,3,95,48.3,28.8,4.0,30,10.00
20,77,31,5,97,54.4,27.5,3.9,29,5.80
20,75,32,1,99,43.0,30.6,3.8,18,18.00
20,79,33,1,99,48.8,29.1,4.0,10,10.00
20,80,34,2,97,52.1,29.0,4.0,29,14.50
20,76,35,1,99,40.4,28.7,3.8,20,20.00
20,76,36,8,100,53.4,29.1,3.8,31,3.88
20,79,37,1,96,55.9,29.3,4.0,45,45.00
20,78,38,3,99,51.4,27.6,3.9,30,10.00
20,80,39,2,100,56.7,28.2,4.0,14,7.00
20,77,40,1,100,50.9,29.0,3.9,43,43.00
20,75,41,1,100,50.9,33.3,3.8,42,42.00
20,78,42,1,91,41.0,29.8,3.9,16,16.00
20,75,43,1,97,55.3,29.3,3.8,37,37.00
20,79,44,1,100,48.5,29.4,4.0,15,15.00
20,79,45,3,98,48.5,28.8,4.0,27,9.00
20,80,46,6,99,48.7,30.9,4.0,23,3.83
20,79,47,3,97,47.4,28.2,4.0,18,6.00
20,79,48,5,99,50.5,28.7,4.0,27,5.40
20,78,49,1,97,39.7,28.5,3.9,31,31.00
50,200,0,2,100,55.8,28.6,4.0,13,6.50
50,200,1,1,100,45.8,30.0,4.0,16,16.00
50,198,2,1,100,53.2,29.6,4.0,8,8.00
50,198,3,1,100,50.6,28.3,4.0,12,12.00
50,196,4,1,100,50.3,29.1,3.9,10,10.00
50,199,5,2,100,49.7,30.3,4.0,25,12.50
50,199,6,1,100,50.7,29.8,4.0,4,4.00
50,198,7,2,100,46.0,29.0,4.0,14,7.00
50,198,8,1,99,48.3,27.3,4.0,37,37.00
50,198,9,1,100,53.2,27.6,4.0,18,18.00
50,199,10,1,100,48.3,28.3,4.0,8,8.00
50,200,11,1,100,51.6,27.3,4.0,12,12.00
50,200,12,1,100,50.6,28.4,4.0,18,18.00
50,197,13,3,100,53.5,29.0,3.9,18,6.00
50,196,14,1,100,51.9,29.4,3.9,14,14.00
50,199,15,1,99,46.1,28.9,4.0,23,23.00
50,200,16,4,100,53.6,28.3,4.0,23,5.75
50,199,17,1,100,55.5,28.6,4.0,19,19.00
50,197,18,1,100,55.2,29.3,3.9,33,33.00
50,199,19,2,100,51.9,29.6,4.0,8,4.00
50,200,20,1,100,51.4,28.1,4.0,39,39.00
50,198,21,1,100,51.1,29.6,4.0,14,14.00
50,200,22,2,100,57.5,29.1,4.0,27,13.50
50,197,23,1,100,48.2,30.4,3.9,18,18.00
50,197,24,1,100,45.6,29.7,3.9,18,18.00
50,197,25,1,100,54.5,29.3,3.9,26,26.00
