n,seed,source,bsafe
20,0,0,14
20,0,1,14
20,0,2,42
20,0,3,53
20,0,4,30
20,0,5,61
20,0,6,13
20,0,7,19
20,0,8,27
20,0,9,35
20,0,10,36
20,0,11,32
20,0,12,26
20,0,13,60
20,0,14,34
20,0,15,50
20,0,16,13
20,0,17,30
20,0,18,32
20,0,19,14
20,1,0,30
20,1,1,35
20,1,2,32
20,1,3,20
20,1,4,33
20,1,5,63
20,1,6,14
20,1,7,25
20,1,8,26
20,1,9,32
20,1,10,10
20,1,11,23
20,1,12,28
20,1,13,21
20,1,14,42
20,1,15,29
20,1,16,15
20,1,17,33
20,1,18,30
20,1,19,17
20,2,0,47
20,2,1,63
20,2,2,32
20,2,3,35
20,2,4,61
20,2,5,43
20,2,6,22
20,2,7,15
20,2,8,24
20,2,9,54
20,2,10,27
20,2,11,54
20,2,12,47
20,2,13,27
20,2,14,49
20,2,15,17
20,2,16,28
20,2,17,24
20,2,18,51
20,2,19,59
20,3,0,14
20,3,1,16
20,3,2,34
20,3,3,34
20,3,4,19
20,3,5,15
20,3,6,35
20,3,7,27
20,3,8,19
20,3,9,29
20,3,10,54
20,3,11,18
20,3,12,20
20,3,13,3
20,3,14,17
20,3,15,18
20,3,16,19
20,3,17,32
20,3,18,30
20,3,19,5
20,4,0,18
20,4,1,45
20,4,2,14
20,4,3,55
20,4,4,29
20,4,5,48
20,4,6,55
20,4,7,19
20,4,8,43
20,4,9,45
20,4,10,23
20,4,11,33
20,4,12,56
20,4,13,25
20,4,14,47
20,4,15,25
20,4,16,19
20,4,17,17
20,4,18,25
20,4,19,24
20,5,0,18
20,5,1,31
20,5,2,60
20,5,3,23
20,5,4,18
20,5,5,18
20,5,6,16
20,5,7,18
20,5,8,15
20,5,9,44
20,5,10,25
20,5,11,33
20,5,12,44
20,5,13,14
20,5,14,40
20,5,15,46
20,5,16,17
20,5,17,19
20,5,18,25
20,5,19,27
20,6,0,14
20,6,1,34
20,6,2,43
20,6,3,53
20,6,4,29
20,6,5,26
20,6,6,26
20,6,7,46
20,6,8,27
20,6,9,23
20,6,10,47
20,6,11,55
20,6,12,10
20,6,13,38
20,6,14,35
20,6,15,53
20,6,16,34
20,6,17,50
20,6,18,54
20,6,19,48
20,7,0,13
20,7,1,17
20,7,2,16
20,7,3,17
20,7,4,9
20,7,5,12
20,7,6,17
20,7,7,13
20,7,8,10
20,7,9,20
20,7,10,11
20,7,11,14
20,7,12,14
20,7,13,16
20,7,14,22
20,7,15,24
20,7,16,11
20,7,17,13
20,7,18,14
20,7,19,15
20,8,0,38
20,8,1,78
20,8,2,125
20,8,3,58
20,8,4,30
20,8,5,33
20,8,6,26
20,8,7,81
20,8,8,12
20,8,9,40
20,8,10,74
20,8,11,25
20,8,12,68
20,8,13,10
20,8,14,39
20,8,15,53
20,8,16,51
20,8,17,41
20,8,18,86
20,8,19,50
20,9,0,29
20,9,1,12
20,9,2,34
20,9,3,13
20,9,4,16
20,9,5,32
20,9,6,28
20,9,7,17
20,9,8,50
20,9,9,27
20,9,10,45
20,9,11,27
20,9,12,16
20,9,13,25
20,9,14,19
20,9,15,20
20,9,16,31
20,9,17,31
20,9,18,22
20,9,19,18
50,0,0,13
50,0,1,13
50,0,2,16
50,0,3,14
50,0,4,16
50,0,5,13
50,0,6,15
50,0,7,13
50,0,8,11
50,0,9,15
50,0,10,27
50,0,11,11
50,0,12,14
50,0,13,12
50,0,14,13
50,0,15,16
50,0,16,26
50,0,17,16
50,0,18,12
50,0,19,25
50,0,20,19
50,0,21,16
50,0,22,14
50,0,23,17
50,0,24,19
50,0,25,14
50,0,26,15
50,0,27,17
50,0,28,11
50,0,29,14
50,1,0,16
50,1,1,8
50,1,2,16
50,1,3,16
50,1,4,14
50,1,5,10
50,1,6,8
50,1,7,16
50,1,8,16
50,1,9,7
50,1,10,15
50,1,11,13
50,1,12,17
50,1,13,10
50,1,14,12
50,1,15,15
50,1,16,11
50,1,17,18
50,1,18,15
50,1,19,14
50,1,20,12
50,1,21,25
50,1,22,10
50,1,23,7
50,1,24,4
50,1,25,15
50,1,26,9
50,1,27,11
50,1,28,13
50,1,29,12
50,2,0,8
50,2,1,13
50,2,2,20
50,2,3,22
50,2,4,12
50,2,5,32
50,2,6,25
50,2,7,20
50,2,8,31
50,2,9,23
50,2,10,21
50,2,11,24
50,2,12,25
50,2,13,21
50,2,14,24
50,2,15,23
50,2,16,19
50,2,17,24
50,2,18,15
50,2,19,27
50,2,20,24
50,2,21,25
50,2,22,19
50,2,23,22
50,2,24,27
50,2,25,21
50,2,26,14
50,2,27,21
50,2,28,20
50,2,29,20
50,3,0,12
50,3,1,23
50,3,2,17
50,3,3,15
50,3,4,20
50,3,5,26
50,3,6,8
50,3,7,17
50,3,8,23
50,3,9,23
50,3,10,16
50,3,11,14
50,3,12,27
50,3,13,18
50,3,14,30
50,3,15,22
50,3,16,27
50,3,17,21
50,3,18,22
50,3,19,24
50,3,20,27
50,3,21,29
50,3,22,19
50,3,23,21
50,3,24,20
50,3,25,27
50,3,26,24
50,3,27,27
50,3,28,20
50,3,29,27
50,4,0,10
50,4,1,17
50,4,2,17
50,4,3,21
50,4,4,20
50,4,5,17
50,4,6,32
50,4,7,12
50,4,8,23
50,4,9,14
50,4,10,24
50,4,11,24
50,4,12,27
50,4,13,17
50,4,14,13
50,4,15,20
50,4,16,10
50,4,17,39
50,4,18,14
50,4,19,21
50,4,20,23
50,4,21,41
50,4,22,15
50,4,23,8
50,4,24,22
50,4,25,26
50,4,26,28
50,4,27,25
50,4,28,33
50,4,29,31
50,5,0,25
50,5,1,28
50,5,2,27
50,5,3,25
50,5,4,25
50,5,5,37
50,5,6,19
50,5,7,23
50,5,8,24
50,5,9,12
50,5,10,12
50,5,11,20
50,5,12,25
50,5,13,18
50,5,14,16
50,5,15,16
50,5,16,22
50,5,17,39
50,5,18,16
50,5,19,23
